Math_77 | OpenMapRealVector_1.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_13.java | OCHIAI: 0.11470786693528087
Math_77 | ArrayRealVector_32.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_10.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_4.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_47.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_1.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_48.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_16.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_14.java | OCHIAI: 0.7071067811865475
Math_77 | OpenMapRealVector_21.java | OCHIAI: 0.7071067811865475
Math_77 | OpenMapRealVector_12.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_44.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_37.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_46.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_24.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_53.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_8.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_23.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_6.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_25.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_17.java | OCHIAI: 0.7071067811865475
Math_77 | ArrayRealVector_38.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_15.java | OCHIAI: 0.2886751345948129
Math_77 | ArrayRealVector_40.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_28.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_51.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_52.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_26.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_7.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_3.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_42.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_26.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_23.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_29.java | OCHIAI: 0.2672612419124244
Math_77 | ArrayRealVector_57.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_31.java | OCHIAI: 0.7071067811865475
Math_77 | ArrayRealVector_45.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_35.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_6.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_2.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_2.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_50.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_56.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_60.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_4.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_5.java | OCHIAI: 0.7071067811865475
Math_77 | OpenMapRealVector_27.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_10.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_16.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_61.java | OCHIAI: 0.7071067811865475
Math_77 | ArrayRealVector_34.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_24.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_8.java | OCHIAI: 0.17149858514250882
Math_77 | ArrayRealVector_54.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_11.java | OCHIAI: 0.7071067811865475
Math_77 | ArrayRealVector_27.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_5.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_12.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_25.java | OCHIAI: 0.7071067811865475
Math_77 | ArrayRealVector_3.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_36.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_33.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_19.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_7.java | OCHIAI: -1.0
Math_77 | OpenMapRealVector_29.java | OCHIAI: 0.5
Math_77 | OpenMapRealVector_9.java | OCHIAI: 0.0
Math_77 | OpenMapRealVector_14.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_21.java | OCHIAI: 0.7071067811865475
Math_77 | OpenMapRealVector_20.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_20.java | OCHIAI: -1.0
Math_77 | ArrayRealVector_22.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_62.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_63.java | OCHIAI: 0.0
Math_77 | ArrayRealVector_55.java | OCHIAI: 0.0
